INDEXVAL,Y_COORD,X_COORD,FBP,FUELPERC,FUELWEIGHT
291,54.58153,-92.50997,C1,17.1097,109.5280991
292,48.30124,-92.32578,M1,23.9687,45.737999
293,48.48116,-92.3234,M1,26.791,95.5161972
294,48.66108,-92.321,M1,21.234,106.9946976
295,48.84098,-92.31857,C2,14.0673,119.1316986
296,49.02089,-92.31612,C3,16.8175,103.5345993
297,49.20078,-92.31364,C3,30.7655,194.8739014
298,49.38067,-92.31114,C2,8.7272,83.413002
299,49.56056,-92.30861,C3,26.4838,154.9073029
300,49.74044,-92.30606,C3,18.6695,143.7223969
301,49.92031,-92.30348,C2,17.6732,106.9011002
302,50.10018,-92.30087,C2,14.9907,120.0792999
303,50.28004,-92.29824,C2,17.119,97.0278015
304,50.4599,-92.29559,C2,25.5938,195.5863953
305,50.63975,-92.2929,C3,33.5065,245.0803986
306,50.81959,-92.29019,C2,42.1213,244.7953949
307,50.99943,-92.28745,C3,45.571,225.2471008
308,51.17926,-92.28468,C2,38.2848,226.343399
309,51.35909,-92.28188,C2,28.1455,153.2093964
310,51.53891,-92.27905,C2,25.2772,196.2451935
311,51.71873,-92.2762,C1,25.1013,219.3672943
312,51.89854,-92.27331,C4,30.6127,226.8668976
313,52.07835,-92.2704,C4,33.6857,231.1580963
314,52.25815,-92.26745,C2,47.9578,263.4884949
315,52.43794,-92.26447,C2,38.8997,224.9196014
316,52.61773,-92.26146,C2,31.5095,235.0269012
317,52.79751,-92.25842,C1,29.3405,230.2640991
318,52.97729,-92.25535,C1,45.7738,268.1159058
319,53.15706,-92.25224,C1,46.156,244.8471069
320,53.33682,-92.2491,C1,49.8863,220.7501984
321,53.51659,-92.24592,C1,51.1588,215.6537018
322,53.69634,-92.24271,C1,37.585,227.7888947
323,53.87609,-92.23947,O1,22.3328,131.190094
324,54.05583,-92.23619,O1,59.9425,69.4274979
325,54.23557,-92.23288,C1,35.1268,182.5968933
326,54.4153,-92.22952,C2,31.9503,214.6656036
327,54.59503,-92.22613,C1,40.498,202.582901
328,54.7596,-92.19702,C1,51.059,232.9013977
329,48.31415,-92.03343,O1,0.4933,5.7993999
330,48.47925,-92.0528,D1,17.6238,45.6991005
331,48.65916,-92.04943,M1,18.655,82.7717972
332,48.83905,-92.04603,C3,26.6728,155.4389954
333,49.01894,-92.0426,C3,20.7233,101.6544037
334,49.19882,-92.03913,C3,23.6583,112.1950989
335,49.3787,-92.03563,C3,27.3655,159.7494965
336,49.55858,-92.03209,C3,21.9003,164.7225037
337,49.73844,-92.02852,C3,15.194,145.8121948
338,49.9183,-92.02491,C2,16.8495,119.0495987
339,50.09816,-92.02126,C2,26.1243,109.281601
340,50.27801,-92.01758,C2,31.4675,148.2369995
341,50.45785,-92.01386,M1,19.5135,104.8211975
342,50.63769,-92.0101,C2,31.3185,229.472702
343,50.81752,-92.0063,C2,53.763,255.3818054
344,50.99734,-92.00247,C3,55.4303,251.3739929
345,51.17716,-91.99859,C2,40.2253,224.6212006
346,51.35698,-91.99467,C2,36.037,173.7024994
347,51.53679,-91.99072,C2,38.2687,206.4064941
348,51.71659,-91.98672,C2,32.865,192.696701
349,51.89639,-91.98268,C4,17.1548,196.4584045
350,52.07618,-91.9786,C2,53.6467,246.4981995
351,52.25596,-91.97447,C2,52.8372,259.473114
352,52.43574,-91.9703,O1,31.937,160.8106995
353,52.61552,-91.96609,C4,36.0795,250.3730011
354,52.79529,-91.96183,C1,32.4742,204.4833069
355,52.97505,-91.95753,C1,33.457,171.6284027
356,53.15481,-91.95318,C1,56.3645,252.0473022
357,53.33456,-91.94878,C1,41.975,228.2758026
358,53.5143,-91.94434,C1,57.6132,232.3320007
359,53.69404,-91.93985,C2,35.2195,224.6737976
360,53.87378,-91.93531,C2,31.05,206.072403
361,54.0535,-91.93072,C1,42.0927,236.245697
362,54.23323,-91.92608,C4,26.828,225.8229065
363,54.41294,-91.92138,C1,45.0965,217.7454071
364,54.59266,-91.91664,C1,42.2188,216.3883057
365,54.77236,-91.91184,C1,48.7083,231.8968048
366,54.93685,-91.88131,C1,62.5167,263.3806152
367,55.08608,-91.825,C1,24.283,147.8930054
368,48.13167,-91.76806,O1,0.5313,8.9154997
369,48.29682,-91.78651,O1,6.5565,39.7316017
370,48.47671,-91.78222,O1,10.0755,63.4822006
371,48.65659,-91.7779,M1,11.9722,60.4737015
372,48.83647,-91.77353,C2,11.6043,79.4560013
373,49.01635,-91.76911,C3,25.2838,110.6044998
374,49.19622,-91.76465,C2,12.4425,108.1675034
375,49.37608,-91.76015,C2,13.6303,124.5604019
376,49.55593,-91.7556,C3,12.4965,95.3338013
377,49.73578,-91.75101,C1,22.2015,157.6719055
378,49.91563,-91.74637,C2,21.3145,172.8603058
379,50.09546,-91.74168,C2,24.0358,142.4176025
380,50.2753,-91.73695,C2,23.7113,187.9384003
381,50.45512,-91.73217,C2,20.02,194.262207
382,50.63494,-91.72734,C2,28.0838,199.9555054
383,50.81476,-91.72246,C2,50.0087,255.1454926
384,50.99456,-91.71752,C3,50.598,257.0815125
385,51.17437,-91.71254,C2,41.277,218.760498
386,51.35416,-91.70751,C2,42.438,213.4974976
387,51.53395,-91.70242,C2,39.9853,230.7631073
388,51.71374,-91.69728,C2,39.6148,232.9626007
389,51.89352,-91.69209,C1,43.4345,260.8586121
390,52.07329,-91.68684,C2,27.7,220.6580048
391,52.25306,-91.68154,C2,44.2023,241.9438934
392,52.43282,-91.67618,C2,37.132,209.5843964
393,52.61257,-91.67077,C2,24.1897,201.7612
394,52.79232,-91.66529,C1,36.686,235.3892975
395,52.97206,-91.65976,C1,36.6665,203.0090942
396,53.1518,-91.65417,C1,40.7057,228.1416016
397,53.33153,-91.64852,C1,35.565,209.0072937
398,53.51126,-91.64281,C1,38.4492,217.628006
399,53.69098,-91.63703,C2,34.091,211.9281006
400,53.87069,-91.63119,C1,37.8702,232.8506927
401,54.0504,-91.62529,C1,29.3672,221.4985046
402,54.2301,-91.61933,C1,44.141,229.2411041
403,54.4098,-91.6133,C1,39.7395,233.1528931
404,54.58949,-91.6072,C1,50.0973,211.1820984
405,54.76918,-91.60103,C1,62.3455,223.8464966
406,54.94885,-91.5948,C1,65.5927,270.1223145
407,55.12853,-91.5885,C1,56.3847,234.8964996
409,48.11378,-91.52211,O1,5.0855,29.1672001
410,48.29366,-91.51693,C4,19.0793,83.3197021
411,48.47353,-91.51169,C4,18.7008,82.6141968
412,48.65339,-91.5064,M1,13.4728,77.9228973
413,48.83325,-91.50106,M1,15.332,56.9424019
414,49.01311,-91.49567,C3,22.0108,122.2882004
415,49.19295,-91.49022,C3,25.6493,129.271698
416,49.37279,-91.48472,C3,19.351,158.5630035
417,49.55263,-91.47917,C3,22.4018,141.658905
418,49.73246,-91.47355,C2,12.9728,128.138504
419,49.91228,-91.46788,C2,23.1453,189.5106964
420,50.0921,-91.46216,C2,30.4575,187.3415985
421,50.27191,-91.45637,C2,32.966,195.0393982
422,50.45171,-91.45053,C3,32.3675,205.3399963
423,50.63151,-91.44462,C2,26.472,227.9645996
424,50.8113,-91.43866,C2,37.654,253.371994
425,50.99109,-91.43263,C2,30.0442,228.6743011
426,51.17087,-91.42654,C2,32.8563,171.0796051
427,51.35064,-91.42039,C2,46.1655,245.3289948
428,51.53041,-91.41418,C2,49.847,230.8912964
429,51.71017,-91.4079,C2,38.5655,225.944397
430,51.88993,-91.40155,C2,42.585,240.5686951
431,52.06968,-91.39514,C2,37.242,269.0585938
432,52.24942,-91.38866,C2,40.0968,253.1183014
433,52.42916,-91.38211,M1,26.945,213.1398926
434,52.60889,-91.3755,C2,27.8175,180.7039032
435,52.78862,-91.36881,C2,27.2235,196.0046997
436,52.96833,-91.36205,C1,29.3787,171.1757965
437,53.14805,-91.35522,C4,51.2355,246.3757019
438,53.32776,-91.34831,C2,35.7115,238.1053925
439,53.50746,-91.34133,C2,45.674,252.6725006
440,53.68715,-91.33428,C2,37.7705,232.1316986
441,53.86684,-91.32715,C4,30.6675,174.934906
442,54.04652,-91.31994,C4,31.1655,216.6316986
443,54.2262,-91.31265,C1,37.1118,219.8863068
444,54.40587,-91.30528,C1,41.978,211.2147064
445,54.58554,-91.29783,C1,39.6812,160.1369934
446,54.76519,-91.29029,C1,57.0535,226.0984955
447,54.94485,-91.28268,C1,64.6202,264.7836914
451,48.11001,-91.25353,O1,3.036,14.8660002
452,48.28987,-91.2474,C4,21.3263,92.705101
453,48.46971,-91.24121,C4,25.7773,134.0659027
454,48.64955,-91.23497,O1,3.6745,71.1287994
455,48.82939,-91.22866,C2,8.5015,64.9000015
456,49.00922,-91.22228,C2,14.4928,126.2167969
457,49.18904,-91.21585,C2,15.4725,130.2131958
458,49.36886,-91.20935,C3,20.9975,210.3045959
459,49.54867,-91.20278,C2,17.6555,158.5274963
460,49.72847,-91.19615,C2,14.6393,133.3150024
461,49.90827,-91.18945,C2,15.7225,101.9904022
462,50.08806,-91.18269,C4,16.9552,181.491806
463,50.26784,-91.17585,C2,20.2598,192.0316925
464,50.44762,-91.16895,C3,36.683,215.7353973
465,50.62739,-91.16197,C2,28.437,195.4586029
466,50.80716,-91.15492,C2,43.2203,216.9720001
467,50.98692,-91.1478,C2,19.9312,159.142807
468,51.16667,-91.14061,C2,45.9975,247.5812988
469,51.34642,-91.13334,C2,45.3855,231.7953949
470,51.52616,-91.126,C2,44.9317,250.721405
471,51.70589,-91.11858,C2,46.6902,241.1506958
472,51.88562,-91.11108,C2,36.868,222.6797943
473,52.06534,-91.10351,C2,37.9985,255.5944977
474,52.24506,-91.09585,C4,32.1865,246.929306
475,52.42477,-91.08812,C2,29.1105,249.2700043
476,52.60447,-91.0803,O1,24.4278,174.6591034
477,52.78417,-91.0724,C1,41.6767,217.2680969
478,52.96386,-91.06441,C4,25.776,215.7577972
479,53.14354,-91.05634,C4,41.2627,252.4860992
480,53.32322,-91.04818,C2,36.3548,244.3135986
481,53.50289,-91.03994,C2,35.6052,198.9447937
482,53.68256,-91.0316,C2,33.9365,216.594696
483,53.86222,-91.02317,C2,25.6155,181.3204956
484,54.04187,-91.01466,C4,36.093,232.5361938
485,54.22152,-91.00604,C4,37.6245,215.4718018
486,54.40116,-90.99734,C1,51.2712,186.8809052
487,54.58079,-90.98854,C1,66.7617,254.6837006
488,54.76042,-90.97964,C1,56.8093,252.7270966
489,54.94004,-90.97064,C1,59.6225,249.4082947
494,48.15171,-91.05042,O1,3.602,2.789
495,48.28544,-90.97793,C4,20.5888,100.4693985
496,48.46526,-90.9708,C4,9.9845,109.9460983
497,48.64507,-90.96359,C4,11.2468,125.5565033
498,48.82488,-90.95631,C2,12.613,96.4213028
499,49.00468,-90.94896,C2,16.869,114.8840027
500,49.18447,-90.94154,C2,21.459,182.2646942
501,49.36426,-90.93404,M1,18.5605,183.4586029
502,49.54404,-90.92647,C2,15.2615,177.5870056
503,49.72382,-90.91882,C2,10.4688,106.8243027
504,49.90358,-90.91109,C2,24.517,114.6914978
505,50.08335,-90.90328,C4,24.6955,193.6826019
506,50.2631,-90.8954,C2,25.441,202.6195984
507,50.44285,-90.88744,C2,36.9552,211.2958069
508,50.62259,-90.87939,C2,47.8952,218.4953003
509,50.80233,-90.87126,C2,42.5307,205.4263
510,50.98206,-90.86305,C2,29.5995,149.1139984
511,51.16178,-90.85475,C2,35.3253,231.2684937
512,51.34149,-90.84637,C2,42.3465,228.5108032
513,51.5212,-90.8379,C2,45.2695,252.5643005
514,51.7009,-90.82934,C2,52.5113,261.2253113
515,51.8806,-90.82069,O1,35.1955,144.0543976
516,52.06029,-90.81196,C1,29.974,234.5021057
517,52.23997,-90.80313,C1,33.3518,210.1656036
518,52.41965,-90.7942,C1,41.4158,246.694397
519,52.59932,-90.78518,C1,35.12,247.1728058
520,52.77898,-90.77607,C1,24.3818,130.0802002
521,52.95864,-90.76686,C4,31.451,193.6759033
522,53.13829,-90.75755,C4,37.2013,247.0686951
523,53.31793,-90.74814,C4,35.2267,224.4051971
524,53.49757,-90.73863,C4,40.9423,238.5552979
525,53.6772,-90.72901,C4,42.746,248.1575012
526,53.85682,-90.7193,C1,38.8518,188.6511993
527,54.03644,-90.70947,C1,37.3685,193.3603058
528,54.21605,-90.69954,C1,59.7508,231.0603943
529,54.39566,-90.6895,C1,71.573,245.5899963
530,54.57525,-90.67934,C1,68.2368,270.4056091
531,54.75484,-90.66908,C1,65.3605,251.341507
539,48.10059,-90.71654,M1,15.7098,50.1208
540,48.28039,-90.70853,C3,15.6155,81.2528992
541,48.46017,-90.70045,C2,9.6255,82.4890976
542,48.63996,-90.69228,C2,11.8835,118.563797
543,48.81973,-90.68404,C2,10.7798,73.7360001
544,48.9995,-90.67571,C2,18.83,137.3984985
545,49.17926,-90.6673,M1,23.4102,152.6605072
546,49.35901,-90.65881,M1,29.386,146.1112976
547,49.53876,-90.65022,C3,23.2327,180.756897
548,49.7185,-90.64156,M1,23.8245,173.9127045
549,49.89824,-90.6328,M1,30.1693,171.1309052
550,50.07796,-90.62396,M1,25.4182,126.1666031
551,50.25768,-90.61503,C2,23.76,190.7917938
552,50.4374,-90.60601,C2,31.3678,187.2702026
553,50.6171,-90.59689,C2,35.8735,215.8928986
554,50.7968,-90.58768,C2,29.305,206.2754059
555,50.9765,-90.57838,C2,37.7642,193.5805054
556,51.15618,-90.56898,C2,18.131,116.5177994
557,51.33586,-90.55948,C2,37.0005,234.6168976
558,51.51554,-90.54989,C2,49.2873,250.7008972
559,51.6952,-90.54019,C2,53.097,256.2843933
560,51.87486,-90.53039,C2,25.0055,208.414093
561,52.05452,-90.5205,C2,34.1872,228.269104
562,52.23416,-90.51049,C1,55.4215,274.1390076
563,52.4138,-90.50038,C1,53.7362,255.9125977
564,52.59343,-90.49017,C1,37.1728,235.3995056
565,52.77306,-90.47984,C1,32.2993,197.2266998
566,52.95268,-90.46941,C1,45.3285,240.6053925
567,53.13229,-90.45886,C1,40.171,229.7124023
568,53.31189,-90.4482,C1,57.4312,241.9662933
569,53.49149,-90.43742,C4,45.8535,255.094101
570,53.67108,-90.42653,C1,62.0938,255.320694
571,53.85066,-90.41552,C1,39.1887,155.4875031
572,54.03024,-90.40439,C1,48.9958,177.7462006
573,54.20981,-90.39314,C1,62.864,228.0164032
574,54.38937,-90.38176,C1,70.3368,249.6811981
575,54.56893,-90.37026,C1,60.3698,265.4150085
585,48.13984,-90.44594,M1,21.3875,40.9497986
586,48.2747,-90.43921,M1,30.7465,104.1199036
587,48.45445,-90.43018,C1,13.3223,113.6007004
588,48.6342,-90.42106,C2,9.2487,74.2303009
589,48.81394,-90.41185,C2,13.9438,64.7818985
590,48.99367,-90.40254,C2,29.6168,162.9649963
591,49.17339,-90.39315,O1,12.1583,140.322998
592,49.35311,-90.38366,M1,19.3843,139.4425964
593,49.53282,-90.37407,M1,20.7527,180.1246948
594,49.71252,-90.36439,C3,20.7787,179.3392944
595,49.89222,-90.35461,C1,25.816,193.0019073
596,50.07191,-90.34473,C2,24.3893,172.0812988
597,50.25159,-90.33475,C4,11.0933,175.0234985
598,50.43126,-90.32467,C2,25.951,182.0437012
599,50.61093,-90.31449,C2,40.4342,200.2581024
600,50.79059,-90.3042,C2,28.8878,200.1318054
601,50.97025,-90.2938,C2,29.0025,161.4002075
602,51.14989,-90.2833,C2,28.4353,156.3063965
603,51.32953,-90.27269,C2,36.722,217.2957001
604,51.50917,-90.26197,C2,35.6412,228.302597
605,51.68879,-90.25114,C2,36.5258,241.7770996
606,51.86841,-90.2402,C2,33.395,241.0827026
607,52.04802,-90.22914,C1,46.379,233.9125977
608,52.22763,-90.21796,C1,41.539,276.3008118
609,52.40722,-90.20667,C2,29.3235,256.1824036
610,52.58681,-90.19526,C2,42.3495,261.5368042
611,52.76639,-90.18372,C2,34.822,264.348114
612,52.94597,-90.17206,C1,41.686,268.9046936
613,53.12554,-90.16028,C1,38.9023,253.1416016
614,53.3047,-90.1496,C1,49.2278,233.5572052
615,53.48416,-90.14344,C1,66.8415,255.5126953
616,53.66383,-90.13768,C1,59.154,200.5879059
617,53.84349,-90.13186,C1,25.5455,93.3999023
618,54.02314,-90.12597,C1,63.7298,230.3352051
619,54.20279,-90.12001,C1,59.9753,209.591095
620,54.38242,-90.11399,C1,75.911,269.0523987
621,54.56204,-90.10791,C1,68.9415,270.9906006
631,48.13356,-90.17741,O1,0.012,33.3084984
632,48.26839,-90.16998,M1,34.9462,94.1578979
633,48.4481,-90.16,C2,12.3158,108.0394974
634,48.6278,-90.14993,C2,12.6998,102.1242981
635,48.80747,-90.13981,C2,17.8448,116.7577972
636,48.98667,-90.13301,C2,31.846,158.0323029
637,49.16647,-90.12806,C2,26.9915,178.574707
638,49.34625,-90.12307,M1,33.3208,150.5023041
639,49.52603,-90.11803,C2,25.5157,185.7073059
640,49.7058,-90.11293,C4,25.597,207.9496002
641,49.88556,-90.10779,C1,26.7367,197.5827942
642,50.06531,-90.10259,C2,21.1503,176.5036011
643,50.24504,-90.09734,C2,35.4303,221.4922943
644,50.42477,-90.09204,C2,40.8432,237.4225006
645,50.60448,-90.08668,C2,36.6433,232.0084076
646,50.78418,-90.08127,C2,34.608,214.2933044
647,50.96387,-90.07581,C2,51.618,216.8347015
648,51.14381,-90.07055,C2,41.4405,223.2429962
649,51.32317,-90.06471,C2,37.7955,232.9465027
650,51.50278,-90.05907,C2,41.7145,262.8965149
651,51.68235,-90.05338,C1,41.98,253.2194977
652,51.86187,-90.04762,C1,45.457,250.9329987
653,52.04133,-90.04181,C1,44.4775,218.0644989
654,52.22069,-90.03595,C2,41.714,276.4760132
655,52.39989,-90.03002,C4,26.942,247.7785034
656,52.57881,-90.02404,C2,46.8905,273.4454956
657,52.75719,-90.01802,C2,48.5675,251.1629944
658,52.93413,-90.01199,C2,41.98,275.5859985
659,53.10479,-90.0061,C2,43.2075,252.8179932
660,53.23439,-90.0016,C4,40.462,243.4530029
661,48.0813,-90.02297,C2,9.7695,51.1500015
662,48.2601,-90.01782,M1,42.8215,103.6985016
663,48.43802,-90.01266,M1,13.0295,125.3270035
664,48.61311,-90.00752,C2,24.689,149.9259949
665,48.76491,-90.00303,C1,23.668,95.1289978
666,48.0813,-89.97703,C2,9.8075,61.6259995
667,48.2601,-89.98218,M1,39.829,108.0139999
668,48.43802,-89.98734,M1,26.719,104.5435028
669,48.61311,-89.99248,C2,25.346,112.9140015
670,48.76491,-89.99697,C1,18.241,82.8669968
671,47.9522,-89.87967,O1,0,5.7010002
672,48.08867,-89.82013,M1,34.943,105.0868988
673,48.26839,-89.83002,M1,57.445,106.7565002
674,48.4481,-89.84,M1,50.875,129.6329956
675,48.6278,-89.85007,M1,26.5908,113.7563019
676,48.80747,-89.86019,M1,25.7785,123.7275009
677,48.98667,-89.86699,M1,29.3173,175.5238953
678,49.16647,-89.87194,C2,26.2862,193.8103943
679,49.34625,-89.87693,C2,23.8955,175.0411987
680,49.52603,-89.88197,C2,27.8758,194.8945007
681,49.7058,-89.88707,C4,48.624,213.763504
682,49.88556,-89.89221,C4,16.8845,199.4385071
683,50.06531,-89.89741,C2,19.3927,199.3778992
684,50.24504,-89.90266,C2,36.8935,223.6047974
685,50.42477,-89.90796,C2,44.1608,235.4465027
686,50.60448,-89.91332,C2,27.003,211.3421936
687,50.78418,-89.91873,C2,29.3435,220.7539063
688,50.96387,-89.92419,C2,56.8432,229.8513947
689,51.14381,-89.92945,C2,41.54,233.5420074
690,51.32317,-89.93529,C2,33.948,246.9649963
691,51.50278,-89.94093,C2,42.213,258.8460083
692,51.68235,-89.94662,C1,48.0025,244.9934998
693,51.86187,-89.95238,C1,58.0925,284.7374878
694,52.04133,-89.95819,C1,45.843,234.5955048
695,52.22069,-89.96405,C1,44.4905,269.2355042
696,52.39989,-89.96998,C1,44.2135,262.9454956
697,52.57881,-89.97596,O1,39.4835,164.4985046
698,52.75719,-89.98198,C2,40.402,236.7220001
699,52.93413,-89.98801,C2,37.452,256.1090088
700,53.10479,-89.9939,C2,39.4465,247.3464966
701,53.23439,-89.9984,C1,33.578,224.647995
702,47.9586,-89.6121,O1,0,1.341
703,48.09494,-89.55184,M1,53.366,102.4744034
704,48.2747,-89.56079,M1,55.8875,85.8684006
705,48.45445,-89.56982,M1,43.7218,87.1530991
706,48.6342,-89.57894,C1,7.3262,57.5606995
707,48.81394,-89.58815,M1,19.9008,108.6351013
708,48.99367,-89.59746,M1,32.0772,175.7420044
709,49.17339,-89.60685,M1,30.292,169.5681
710,49.35311,-89.61634,C2,35.4485,207.9268951
711,49.53282,-89.62593,C2,25.501,195.5498047
712,49.71252,-89.63561,C4,37.2005,187.2911072
713,49.89222,-89.64539,C4,37.5413,201.4228058
714,50.07191,-89.65527,C2,27.908,210.5778961
715,50.25159,-89.66525,C2,26.2223,223.4463043
716,50.43126,-89.67533,C1,31.2482,210.9902954
717,50.61093,-89.68551,C4,33.29,223.6293945
718,50.79059,-89.6958,C4,23.7172,221.8605957
